best_eval_accuracy = 0.2743718592964824
eval_accuracy = 0.2743718592964824
eval_loss = 1.3837420621657754
global_step = 832
loss = 0.35055488902219556
0	1	2	[0.8    0.7676 0.8003 0.745 ]
513	2	3	[0.6997 0.676  0.6875 0.71  ]
514	0	0	[0.739  0.7217 0.682  0.739 ]
515	0	3	[0.776  0.7593 0.77   0.7817]
516	0	0	[0.718  0.6953 0.7007 0.701 ]
517	1	2	[0.867  0.844  0.8726 0.8613]
518	1	3	[0.672  0.672  0.633  0.6777]
519	0	3	[0.557  0.5576 0.569  0.5986]
520	2	0	[0.7695 0.735  0.7007 0.7065]
521	1	3	[0.935  0.935  0.868  0.9404]
522	1	0	[0.9844 0.984  0.9272 0.984 ]
523	3	0	[0.691  0.641  0.6514 0.6465]
524	1	2	[0.62  0.62  0.638 0.591]
525	1	0	[0.6494 0.649  0.6255 0.6025]
526	0	2	[0.7144 0.7373 0.7603 0.72  ]
527	0	2	[0.6807 0.6807 0.703  0.686 ]
528	2	3	[0.6807 0.686  0.6753 0.703 ]
529	0	0	[0.703  0.6924 0.6865 0.698 ]
530	1	1	[0.7114 0.7173 0.683  0.7114]
531	0	0	[0.8164 0.811  0.72   0.7485]
532	3	2	[0.7104 0.7104 0.7163 0.71  ]
533	0	3	[0.7266 0.709  0.7207 0.738 ]
534	3	1	[0.659  0.71   0.6875 0.6875]
535	2	3	[0.649  0.6665 0.6445 0.673 ]
536	2	0	[0.726  0.7207 0.7207 0.623 ]
537	2	1	[0.5693 0.6787 0.6504 0.633 ]
538	1	3	[0.725  0.7305 0.7476 0.764 ]
539	2	3	[0.7    0.6943 0.723  0.734 ]
540	0	0	[0.746  0.6943 0.734  0.7   ]
541	2	0	[0.764  0.7075 0.719  0.759 ]
542	3	3	[0.764  0.7075 0.759  0.77  ]
543	0	3	[0.859  0.891  0.8477 0.903 ]
544	2	3	[0.891  0.8477 0.88   0.903 ]
545	0	2	[0.869  0.853  0.88   0.8643]
546	2	0	[0.88   0.853  0.869  0.8643]
547	1	3	[0.554  0.6123 0.6006 0.647 ]
548	2	0	[0.647  0.6006 0.6006 0.554 ]
549	2	2	[0.6055 0.6055 0.6113 0.5947]
550	3	0	[0.59   0.584  0.5605 0.572 ]
551	3	2	[0.7676 0.761  0.7783 0.7725]
552	1	0	[0.913  0.913  0.913  0.9126]
553	2	0	[0.577  0.559  0.571  0.5654]
554	0	2	[0.5586 0.5586 0.559  0.5586]
555	2	2	[0.5586 0.559  0.5645 0.5586]
556	2	3	[0.889  0.9053 0.9004 0.911 ]
557	3	1	[0.7344 0.757  0.74   0.723 ]
558	2	2	[0.646  0.6685 0.669  0.6406]
559	2	1	[0.5645 0.582  0.564  0.564 ]
560	1	2	[0.5645 0.575  0.582  0.564 ]
561	0	1	[0.7305 0.747  0.7305 0.747 ]
562	1	3	[0.6064 0.6235 0.6235 0.624 ]
563	2	2	[0.7144 0.726  0.732  0.731 ]
564	3	0	[0.7065 0.7007 0.7007 0.7065]
565	1	1	[0.869  0.8804 0.875  0.8804]
566	2	2	[0.62   0.6196 0.6377 0.6367]
567	1	1	[0.9604 0.9946 0.9946 0.9155]
568	1	3	[0.621  0.626  0.6265 0.638 ]
569	1	1	[0.7944 0.8057 0.772  0.8003]
570	2	0	[0.624  0.59   0.6187 0.613 ]
571	2	3	[0.807  0.79   0.7266 0.813 ]
572	0	2	[0.6294 0.618  0.657  0.6353]
573	2	0	[0.876  0.8716 0.8604 0.871 ]
574	0	1	[0.7856 0.797  0.7915 0.7803]
575	2	1	[0.7915 0.797  0.7803 0.7803]
576	0	2	[0.698  0.704  0.7095 0.6533]
577	2	1	[0.57  0.575 0.564 0.57 ]
578	0	1	[0.817  0.851  0.8057 0.8228]
579	0	0	[0.854  0.832  0.843  0.8486]
580	2	2	[0.9263 0.916  0.945  0.944 ]
581	1	0	[0.7026 0.6855 0.6914 0.686 ]
582	2	0	[0.7134 0.6567 0.7134 0.708 ]
583	2	1	[0.708  0.7134 0.6567 0.7134]
584	0	1	[0.672  0.689  0.655  0.6714]
585	0	2	[0.759  0.7583 0.776  0.7637]
586	2	2	[0.6533 0.654  0.6597 0.5957]
587	1	0	[0.8047 0.766  0.7935 0.783 ]
588	0	1	[0.5874 0.639  0.5986 0.582 ]
589	0	3	[0.7944 0.8    0.805  0.8164]
590	2	1	[0.5854 0.596  0.579  0.5903]
591	1	3	[0.6196 0.6426 0.6255 0.6597]
592	3	0	[0.7173 0.7007 0.695  0.7065]
593	1	1	[0.854  0.8984 0.865  0.837 ]
594	2	0	[0.6455 0.623  0.6284 0.5938]
595	0	0	[0.5674 0.567  0.5615 0.5615]
596	2	0	[0.739  0.7383 0.6694 0.7383]
597	0	3	[0.612  0.606  0.623  0.6455]
598	0	3	[0.606  0.623  0.6455 0.651 ]
599	0	0	[0.8447 0.8223 0.8115 0.822 ]
600	0	1	[0.7417 0.788  0.7876 0.754 ]
601	1	0	[0.801  0.789  0.761  0.7725]
602	1	1	[0.8965 0.9077 0.8857 0.8853]
603	2	2	[0.9995 1.021  1.038  1.038 ]
604	1	1	[0.5176 0.5234 0.5176 0.5176]
605	3	3	[0.6504 0.6333 0.611  0.696 ]
606	2	1	[0.726  0.748  0.7256 0.726 ]
607	2	2	[1.085 1.063 1.182 1.102]
608	3	2	[0.7495 0.7266 0.7886 0.755 ]
609	3	0	[0.6597 0.619  0.62   0.6426]
610	0	3	[0.634  0.6167 0.6455 0.6567]
611	0	0	[0.6343 0.623  0.6235 0.606 ]
612	0	0	[0.896  0.885  0.8853 0.8853]
613	2	0	[0.8853 0.885  0.8853 0.8853]
614	2	3	[0.574  0.5854 0.586  0.591 ]
615	1	2	[0.7    0.6606 0.7056 0.6606]
616	1	1	[0.7134 0.742  0.6963 0.697 ]
617	0	0	[0.5547 0.549  0.5435 0.5493]
618	3	1	[0.549  0.5493 0.5435 0.5493]
619	3	0	[0.764  0.747  0.7354 0.753 ]
620	1	1	[0.7266 0.7593 0.7207 0.7373]
621	2	2	[0.71   0.7217 0.727  0.699 ]
622	3	2	[0.704  0.705  0.7275 0.688 ]
623	0	1	[0.852  0.8574 0.8574 0.852 ]
624	2	1	[0.6035 0.6094 0.6094 0.604 ]
625	0	0	[0.8022 0.7803 0.7803 0.7856]
626	2	2	[0.7856 0.7803 0.7964 0.7803]
627	1	2	[0.6836 0.683  0.6943 0.6943]
628	2	1	[0.6836 0.6943 0.689  0.6943]
629	0	0	[0.711  0.6943 0.6885 0.7104]
630	0	0	[0.7114 0.7104 0.6885 0.6943]
631	3	3	[0.78   0.682  0.774  0.7856]
632	1	0	[0.625  0.5894 0.607  0.6016]
633	1	1	[0.7124 0.7246 0.656  0.701 ]
634	0	1	[0.8057 0.8105 0.8105 0.788 ]
635	2	1	[0.7183 0.7407 0.724  0.718 ]
636	2	1	[0.675  0.6753 0.675  0.675 ]
637	3	0	[0.6206 0.5625 0.556  0.5503]
638	2	2	[0.6646 0.67   0.6987 0.698 ]
639	3	0	[0.568 0.539 0.539 0.562]
640	2	0	[0.598 0.587 0.581 0.564]
641	1	1	[0.6514 0.7144 0.6514 0.652 ]
642	1	3	[0.657 0.662 0.657 0.668]
643	3	1	[0.5957 0.618  0.5845 0.618 ]
644	0	0	[0.574  0.5625 0.574  0.563 ]
645	3	2	[0.7534 0.747  0.7637 0.753 ]
646	2	1	[0.747  0.7637 0.7524 0.7534]
647	3	0	[0.563 0.557 0.546 0.546]
648	1	3	[0.557  0.5405 0.546  0.563 ]
649	3	1	[0.9014 0.913  0.907  0.879 ]
650	3	0	[0.6807 0.6523 0.6475 0.6416]
651	2	3	[0.685  0.6904 0.702  0.708 ]
652	2	3	[0.685  0.6904 0.702  0.708 ]
653	0	1	[0.827  0.844  0.827  0.7817]
654	2	3	[0.649  0.5737 0.66   0.6714]
655	0	1	[0.592  0.5977 0.586  0.5923]
656	1	3	[0.8086 0.808  0.797  0.814 ]
657	0	1	[0.621  0.6387 0.587  0.621 ]
658	3	0	[0.6035 0.5625 0.5967 0.5327]
659	2	3	[0.604  0.6216 0.6274 0.6445]
660	3	1	[0.7305 0.742  0.731  0.7363]
661	3	2	[0.6143 0.6196 0.626  0.6084]
662	1	2	[0.5522 0.558  0.593  0.564 ]
663	3	0	[0.694  0.6772 0.6553 0.683 ]
664	2	3	[0.8115 0.8115 0.8115 0.8457]
665	0	1	[0.657  0.6577 0.6465 0.576 ]
666	0	0	[0.7266 0.7153 0.715  0.693 ]
667	3	3	[0.527  0.532  0.532  0.5615]
668	0	0	[0.701  0.678  0.6836 0.6836]
669	1	3	[0.6313 0.649  0.649  0.6543]
670	3	1	[0.7173 0.7236 0.678  0.712 ]
671	1	1	[0.5513 0.5923 0.551  0.533 ]
672	1	3	[0.6   0.589 0.606 0.617]
673	1	2	[0.8945 0.8945 0.911  0.9004]
674	0	0	[0.8833 0.872  0.878  0.8833]
675	1	1	[0.872  0.884  0.8833 0.878 ]
676	1	2	[0.711  0.6997 0.728  0.711 ]
677	1	0	[0.724  0.6953 0.7114 0.724 ]
678	1	0	[0.8516 0.829  0.813  0.8457]
679	0	0	[0.798  0.7754 0.792  0.7812]
680	0	3	[0.751  0.762  0.7505 0.7676]
681	3	3	[0.762  0.7676 0.7505 0.7954]
682	1	2	[0.712  0.6895 0.7124 0.7007]
683	1	2	[0.6113 0.5884 0.612  0.566 ]
684	3	3	[0.7207 0.738  0.72   0.749 ]
685	3	3	[0.72   0.7207 0.738  0.7603]
686	3	3	[0.732  0.7153 0.7324 0.744 ]
687	2	0	[0.8325 0.8037 0.7925 0.827 ]
688	2	1	[1.    1.027 1.006 1.022]
689	2	3	[1.039 1.022 1.012 1.044]
690	3	2	[0.7334 0.733  0.7563 0.7505]
691	2	3	[0.8247 0.808  0.8413 0.869 ]
692	2	3	[0.887  0.8716 0.877  0.8936]
693	0	2	[0.736  0.7363 0.7476 0.7363]
694	2	3	[0.6953 0.6904 0.707  0.73  ]
695	1	1	[0.6426 0.677  0.659  0.614 ]
696	0	1	[0.754  0.759  0.759  0.7534]
697	2	2	[0.8076 0.842  0.8755 0.8584]
698	3	0	[0.821  0.793  0.821  0.8154]
699	1	0	[0.5854 0.5684 0.5796 0.5625]
700	2	2	[0.58   0.5977 0.615  0.592 ]
701	2	0	[0.6763 0.6484 0.643  0.643 ]
702	1	1	[0.672  0.6943 0.6606 0.666 ]
703	3	2	[0.602  0.6016 0.6187 0.5957]
704	3	1	[0.602  0.6187 0.6016 0.607 ]
705	0	3	[0.781 0.792 0.77  0.798]
706	0	1	[0.652  0.669  0.6523 0.652 ]
707	3	2	[0.652  0.6523 0.669  0.652 ]
708	2	0	[0.561  0.5195 0.5195 0.5195]
709	3	1	[0.807  0.813  0.796  0.8066]
710	0	2	[0.728 0.728 0.739 0.734]
711	1	1	[0.738  0.7773 0.7266 0.738 ]
712	3	0	[0.6445 0.6216 0.633  0.6216]
713	1	2	[0.6216 0.599  0.6445 0.633 ]
714	2	0	[0.749  0.6987 0.688  0.716 ]
715	1	1	[0.613  0.618  0.618  0.6016]
716	0	0	[0.6064 0.6064 0.601  0.595 ]
717	0	0	[0.661  0.644  0.6323 0.638 ]
718	2	2	[0.519  0.5137 0.5547 0.513 ]
719	2	0	[0.637  0.592  0.6313 0.62  ]
720	2	1	[0.62   0.637  0.6313 0.597 ]
721	2	0	[0.519  0.5137 0.519  0.5137]
722	1	1	[0.537  0.544  0.526  0.5376]
723	0	3	[0.672  0.649  0.6377 0.6772]
724	1	1	[0.577  0.653  0.5547 0.5835]
725	3	2	[0.647  0.6753 0.6807 0.6416]
726	2	1	[0.7036 0.755  0.749  0.732 ]
727	0	1	[0.617  0.6787 0.6284 0.6616]
728	2	2	[0.686  0.7266 0.7725 0.732 ]
729	0	3	[0.7524 0.7583 0.73   0.781 ]
730	3	0	[0.8496 0.816  0.838  0.8433]
731	1	3	[0.6753 0.664  0.6475 0.698 ]
732	1	0	[0.9434 0.9434 0.9146 0.8433]
733	3	1	[0.5933 0.6104 0.599  0.6104]
734	1	3	[0.5415 0.5415 0.5415 0.5474]
735	3	1	[0.88   0.902  0.897  0.8906]
736	2	0	[0.936  0.9307 0.925  0.9307]
737	0	1	[0.555  0.5557 0.5493 0.5557]
738	1	2	[0.7026 0.6797 0.7197 0.685 ]
739	2	2	[0.725  0.691  0.7363 0.719 ]
740	0	3	[0.739  0.7393 0.7324 0.772 ]
741	0	3	[0.7607 0.7324 0.7393 0.772 ]
742	2	2	[0.656  0.6333 0.7183 0.6616]
743	2	3	[0.67   0.6587 0.6704 0.6807]
744	2	0	[0.6787 0.604  0.628  0.5986]
745	2	3	[0.7476 0.76   0.708  0.771 ]
746	1	3	[0.8306 0.8306 0.836  0.8413]
747	2	2	[0.8306 0.836  0.858  0.8413]
748	1	0	[0.675  0.63   0.6743 0.675 ]
749	1	0	[0.777  0.777  0.7603 0.777 ]
750	2	0	[0.708 0.663 0.646 0.679]
751	1	3	[0.6675 0.6675 0.662  0.684 ]
752	0	1	[0.7427 0.7656 0.7314 0.7427]
753	2	2	[0.637 0.626 0.655 0.62 ]
754	2	0	[0.626  0.62   0.6143 0.62  ]
755	1	0	[0.626 0.609 0.62  0.62 ]
756	3	3	[0.7476 0.794  0.697  0.8276]
757	0	0	[0.7246 0.599  0.644  0.7134]
758	2	1	[0.6733 0.7075 0.691  0.6685]
759	1	3	[0.6577 0.6294 0.658  0.6865]
760	2	3	[0.5083 0.4785 0.4783 0.509 ]
761	1	2	[0.8022 0.8022 0.808  0.785 ]
762	1	0	[0.5767 0.5527 0.559  0.5527]
763	3	0	[0.6675 0.656  0.6616 0.662 ]
764	2	0	[0.55   0.538  0.5264 0.5264]
765	3	1	[0.55  0.561 0.55  0.532]
766	2	0	[0.682  0.6704 0.6597 0.671 ]
767	3	3	[0.59   0.595  0.5894 0.618 ]
768	1	0	[0.697  0.6284 0.6685 0.6904]
769	2	0	[0.787  0.7812 0.76   0.7646]
770	1	0	[0.785  0.779  0.7793 0.7847]
771	0	2	[0.675  0.5703 0.6924 0.646 ]
772	3	2	[0.7974 0.7803 0.814  0.814 ]
773	0	0	[0.5684 0.551  0.5684 0.5684]
774	1	0	[0.946  0.9346 0.912  0.9287]
775	0	0	[0.722  0.699  0.6597 0.66  ]
776	2	1	[0.6357 0.6523 0.636  0.6187]
777	1	1	[0.6187 0.6646 0.6357 0.6523]
778	1	3	[0.5913 0.5913 0.5967 0.6025]
779	1	1	[0.7524 0.7915 0.7524 0.752 ]
780	2	2	[0.696  0.696  0.6963 0.69  ]
781	1	0	[0.668 0.652 0.646 0.657]
782	2	1	[0.5483 0.554  0.5254 0.519 ]
783	3	2	[0.5215 0.5454 0.5625 0.533 ]
784	3	2	[0.5215 0.5454 0.5625 0.545 ]
785	1	0	[0.6206 0.6206 0.6147 0.6206]
786	2	2	[0.7397 0.746  0.752  0.6772]
787	0	3	[0.616  0.6216 0.6167 0.628 ]
788	1	3	[0.6167 0.6226 0.6226 0.6284]
789	0	0	[0.6284 0.6284 0.6167 0.6226]
790	1	1	[0.8237 0.8296 0.7617 0.8237]
791	0	2	[0.575  0.581  0.5815 0.564 ]
792	0	0	[0.7686 0.7056 0.7686 0.7627]
793	0	1	[0.659  0.6597 0.659  0.659 ]
794	1	3	[0.693  0.6763 0.659  0.698 ]
795	3	1	[0.693  0.698  0.659  0.6816]
796	2	2	[0.659  0.6597 0.665  0.659 ]
797	1	1	[0.5723 0.5947 0.531  0.5835]
798	1	3	[0.987  0.9863 0.9756 1.01  ]
799	2	3	[0.803  0.7866 0.8145 0.8203]
800	3	1	[0.9253 0.9375 0.9136 0.92  ]
801	3	2	[0.969  0.97   0.981  0.9634]
802	1	2	[0.639  0.6504 0.651  0.6226]
803	1	0	[0.678  0.622  0.6504 0.651 ]
804	2	0	[0.715  0.715  0.709  0.7036]
805	2	0	[0.715  0.715  0.7036 0.709 ]
806	3	2	[0.571  0.606  0.6167 0.6055]
807	2	2	[0.558  0.5986 0.599  0.5933]
808	3	0	[0.812 0.779 0.768 0.79 ]
809	3	2	[0.5435 0.5493 0.5845 0.5557]
810	3	3	[0.635  0.635  0.6343 0.646 ]
811	1	1	[0.635  0.646  0.635  0.6343]
812	0	0	[0.6533 0.636  0.626  0.6475]
813	1	0	[0.6475 0.626  0.6475 0.636 ]
814	2	0	[0.9907 0.99   0.985  0.956 ]
815	3	3	[0.9243 0.9985 0.9355 1.032 ]
816	1	1	[0.66   0.6665 0.6606 0.66  ]
817	3	2	[0.632  0.643  0.7236 0.632 ]
818	3	0	[0.555  0.5493 0.555  0.55  ]
819	3	2	[0.6055 0.5996 0.617  0.5996]
820	2	0	[0.7886 0.693  0.7383 0.727 ]
821	3	3	[0.616  0.616  0.616  0.6226]
822	0	3	[0.861  0.877  0.861  0.8823]
823	0	2	[0.659  0.6714 0.6763 0.6646]
824	2	2	[0.618  0.6187 0.6636 0.6187]
825	3	0	[0.5947 0.589  0.5947 0.5825]
826	1	3	[0.8154 0.8315 0.8438 0.8604]
827	3	0	[0.858  0.8135 0.841  0.8413]
828	3	2	[0.8296 0.841  0.858  0.8296]
829	0	3	[0.7324 0.721  0.739  0.7495]
830	1	2	[0.721  0.727  0.7495 0.739 ]
831	2	1	[0.716  0.722  0.7104 0.7104]
832	1	1	[0.7104 0.7275 0.722  0.716 ]
833	0	2	[0.552 0.563 0.574 0.528]
834	2	1	[0.528 0.574 0.552 0.563]
835	3	1	[0.546  0.581  0.534  0.5464]
836	1	0	[0.581 0.564 0.534 0.546]
837	2	1	[0.6133 0.6245 0.619  0.6187]
838	2	0	[0.757 0.74  0.746 0.757]
839	2	0	[0.8584 0.8584 0.8584 0.8584]
840	1	1	[0.8047 0.8765 0.838  0.865 ]
841	3	2	[0.572  0.5776 0.6064 0.5947]
842	2	2	[0.7417 0.7417 0.764  0.747 ]
843	3	0	[0.7036 0.687  0.7036 0.675 ]
844	1	3	[0.7    0.7056 0.688  0.722 ]
845	3	3	[0.5903 0.6357 0.6753 0.7153]
846	3	3	[0.6914 0.6567 0.635  0.7026]
847	1	2	[0.6147 0.6084 0.632  0.626 ]
848	3	3	[0.766  0.811  0.8057 0.8335]
849	3	2	[0.701  0.651  0.7236 0.7065]
850	3	3	[0.643  0.654  0.643  0.6597]
851	2	2	[0.7896 0.796  0.807  0.7725]
852	2	0	[0.578  0.578  0.5605 0.56  ]
853	2	2	[0.7036 0.687  0.716  0.623 ]
854	1	3	[0.9526 0.942  0.9185 0.9707]
855	2	3	[0.7354 0.7236 0.7354 0.752 ]
856	2	1	[0.62   0.6377 0.6147 0.6265]
857	0	0	[0.6763 0.6533 0.6646 0.654 ]
858	1	2	[0.699  0.7104 0.716  0.6987]
859	0	0	[0.72   0.6973 0.703  0.703 ]
860	0	1	[0.5464 0.563  0.522  0.534 ]
861	2	3	[0.8066 0.7847 0.8403 0.8516]
862	3	1	[0.626  0.6323 0.632  0.626 ]
863	3	1	[0.767  0.7773 0.7725 0.7666]
864	2	1	[0.623  0.6577 0.606  0.623 ]
865	2	0	[0.6855 0.6514 0.663  0.663 ]
866	2	1	[0.5605 0.6064 0.6064 0.606 ]
867	3	1	[0.6416 0.6743 0.6577 0.6743]
868	1	3	[0.6323 0.633  0.6323 0.638 ]
869	0	2	[0.6973 0.6685 0.7026 0.6973]
870	2	2	[0.6567 0.6743 0.6914 0.662 ]
871	1	2	[0.947 0.947 0.969 0.941]
872	3	1	[0.616  0.6274 0.5938 0.6104]
873	1	1	[0.6094 0.6265 0.598  0.621 ]
874	3	1	[0.6094 0.621  0.598  0.6094]
875	2	0	[0.885  0.869  0.8794 0.858 ]
876	1	2	[0.5796 0.5796 0.596  0.5854]
877	1	3	[0.8765 0.9385 0.9043 0.9443]
878	1	2	[0.5884 0.571  0.617  0.6113]
879	1	3	[0.9727 0.9785 0.956  0.985 ]
880	2	1	[0.7554 0.7725 0.744  0.733 ]
881	1	0	[0.664  0.641  0.6074 0.658 ]
882	2	2	[0.805  0.805  0.81   0.7764]
883	2	3	[0.5737 0.5796 0.5854 0.597 ]
884	3	0	[0.597  0.5796 0.5737 0.5854]
885	1	0	[0.617  0.617  0.611  0.6167]
886	1	1	[0.7144 0.72   0.6455 0.6567]
887	2	0	[0.601  0.5674 0.555  0.5786]
888	0	0	[0.5767 0.56   0.565  0.5596]
889	0	3	[0.551 0.556 0.556 0.562]
890	0	1	[0.556 0.562 0.556 0.556]
891	1	2	[0.7573 0.7793 0.802  0.785 ]
892	3	0	[0.657  0.657  0.6167 0.657 ]
893	2	0	[0.833 0.827 0.827 0.827]
894	1	1	[0.704  0.7495 0.738  0.7495]
895	3	0	[0.7837 0.6875 0.5776 0.721 ]
896	3	0	[0.575  0.5747 0.5693 0.569 ]
897	0	0	[0.881  0.876  0.8594 0.8647]
898	2	3	[0.548  0.548  0.553  0.5596]
899	0	3	[0.542  0.548  0.548  0.5596]
900	3	1	[0.722 0.734 0.728 0.734]
901	1	2	[0.6494 0.718  0.723  0.7227]
902	2	1	[0.7705 0.816  0.793  0.8047]
903	3	1	[0.6997 0.711  0.6885 0.682 ]
904	3	2	[0.6113 0.622  0.634  0.616 ]
905	0	0	[0.625  0.608  0.62   0.6143]
906	2	2	[0.6304 0.6187 0.636  0.614 ]
907	2	3	[0.6226 0.6577 0.6113 0.675 ]
908	2	2	[0.9194 0.931  0.9644 0.9253]
909	1	3	[0.6924 0.7437 0.7207 0.7495]
910	3	3	[0.695  0.6895 0.6724 0.6953]
911	0	0	[0.641 0.635 0.629 0.612]
912	3	3	[0.629  0.612  0.635  0.6406]
913	0	2	[0.585  0.5903 0.608  0.591 ]
914	1	2	[0.6665 0.6665 0.6777 0.6665]
915	1	2	[0.6665 0.672  0.6777 0.6665]
916	3	2	[0.586  0.6377 0.6553 0.6553]
917	3	3	[0.6772 0.655  0.682  0.694 ]
918	3	0	[0.7627 0.7573 0.7515 0.7344]
919	2	0	[0.684  0.615  0.633  0.6323]
920	2	0	[0.657  0.6343 0.6294 0.6177]
921	0	3	[0.6934 0.677  0.6826 0.705 ]
922	2	0	[0.639  0.6226 0.582  0.588 ]
923	3	3	[0.676 0.654 0.654 0.677]
924	0	1	[0.7485 0.7656 0.7485 0.7373]
925	2	2	[0.7373 0.7656 0.7944 0.7485]
926	0	1	[0.5913 0.678  0.626  0.568 ]
927	1	2	[0.6562 0.628  0.667  0.639 ]
928	2	2	[0.677  0.688  0.716  0.6772]
929	3	0	[0.758  0.724  0.7236 0.7354]
930	3	3	[0.7554 0.7554 0.7495 0.772 ]
931	3	1	[0.594  0.5947 0.5947 0.594 ]
932	0	0	[0.586  0.5444 0.5444 0.5444]
933	1	2	[0.602  0.6025 0.6196 0.614 ]
934	0	0	[0.6484 0.6143 0.6484 0.6255]
935	0	1	[0.672  0.6953 0.649  0.597 ]
936	2	2	[0.733  0.733  0.7393 0.6987]
937	1	1	[0.711  0.722  0.6997 0.711 ]
938	1	3	[0.8145 0.792  0.803  0.8306]
939	1	3	[0.685  0.7017 0.685  0.7075]
940	3	0	[0.967  0.9497 0.9272 0.939 ]
941	1	0	[0.798  0.7705 0.776  0.787 ]
942	3	2	[0.798  0.8203 0.831  0.831 ]
943	3	3	[0.512  0.5005 0.5005 0.536 ]
944	0	2	[0.673  0.6616 0.684  0.6562]
945	1	2	[0.6895 0.7007 0.7124 0.6953]
946	0	2	[0.7305 0.741  0.7754 0.73  ]
947	2	0	[0.7754 0.73   0.73   0.741 ]
948	0	1	[0.734  0.7676 0.717  0.717 ]
949	0	1	[0.717  0.7676 0.717  0.7573]
950	1	2	[0.635  0.646  0.651  0.6343]
951	3	1	[0.8623 0.895  0.884  0.879 ]
952	0	1	[0.6846 0.685  0.684  0.639 ]
953	0	3	[0.6772 0.6885 0.683  0.689 ]
954	1	0	[0.621  0.5796 0.5615 0.586 ]
955	0	1	[0.7207 0.7373 0.7207 0.7207]
956	1	3	[0.571  0.576  0.5703 0.582 ]
957	3	3	[0.6357 0.641  0.653  0.658 ]
958	2	2	[0.653  0.641  0.6577 0.6357]
959	0	1	[0.7725 0.788  0.7173 0.5957]
960	1	3	[0.6924 0.7256 0.715  0.7314]
961	2	1	[0.5767 0.5938 0.5825 0.583 ]
962	2	2	[0.619 0.596 0.636 0.596]
963	0	3	[0.6562 0.6514 0.6455 0.6733]
964	2	1	[0.6904 0.7017 0.697  0.7017]
965	2	0	[0.63   0.618  0.618  0.6123]
966	1	0	[0.6357 0.625  0.6245 0.619 ]
967	1	0	[0.6357 0.6245 0.6245 0.619 ]
968	3	3	[0.6123 0.6133 0.5664 0.682 ]
969	2	1	[0.807  0.8076 0.7744 0.7466]
970	1	1	[0.8076 0.819  0.807  0.7466]
971	1	0	[0.6094 0.6094 0.6094 0.6094]
972	2	2	[0.589  0.5947 0.6113 0.5894]
973	0	1	[0.777  0.788  0.782  0.7827]
974	2	1	[0.5483 0.554  0.531  0.536 ]
975	1	1	[0.574  0.5806 0.5684 0.574 ]
976	2	0	[0.71  0.665 0.671 0.654]
977	2	1	[0.863  0.9067 0.8516 0.8735]
978	2	0	[0.6567 0.6504 0.639  0.634 ]
979	2	0	[0.7627 0.7334 0.7227 0.7627]
980	2	2	[0.5566 0.568  0.5796 0.5684]
981	2	1	[0.554  0.584  0.542  0.5186]
982	0	1	[0.836  0.8364 0.8145 0.831 ]
983	1	2	[0.648  0.6416 0.6587 0.6304]
984	0	0	[0.858  0.8574 0.846  0.846 ]
985	1	1	[0.7676 0.7837 0.779  0.779 ]
986	1	2	[0.5903 0.5903 0.5957 0.5903]
987	1	1	[0.5957 0.596  0.5903 0.5903]
988	2	3	[0.5894 0.578  0.5776 0.595 ]
989	0	1	[0.59   0.595  0.5894 0.578 ]
990	1	3	[0.697  0.691  0.697  0.7026]
991	0	0	[0.7734 0.762  0.7393 0.734 ]
992	1	1	[0.583  0.5996 0.594  0.5884]
993	1	3	[0.5776 0.572  0.572  0.5835]
994	1	1	[0.8027 0.854  0.854  0.7695]
995	3	0	[0.719 0.708 0.691 0.714]
996	1	1	[0.733  0.7383 0.7334 0.716 ]
997	2	0	[0.6636 0.618  0.647  0.663 ]
998	0	1	[0.662  0.697  0.691  0.6685]
999	2	3	[0.622  0.6113 0.605  0.634 ]
1000	3	1	[0.526  0.5547 0.526  0.5264]
1001	2	0	[0.8706 0.8325 0.8486 0.8384]
1002	1	0	[0.8955 0.857  0.83   0.852 ]
1003	2	0	[0.7925 0.7524 0.7583 0.7466]
1004	1	1	[0.662  0.696  0.623  0.6675]
1005	0	1	[0.7134 0.7363 0.7305 0.731 ]
1006	0	1	[0.6216 0.656  0.6157 0.6104]
1007	0	0	[0.678  0.6724 0.673  0.667 ]
1008	0	2	[0.697  0.697  0.7075 0.7075]
1009	1	0	[0.8594 0.853  0.774  0.8535]
1010	3	3	[0.78   0.8413 0.8193 0.842 ]
1011	3	3	[0.78   0.8193 0.8413 0.8467]
1012	1	0	[0.7896 0.7676 0.767  0.7837]
1013	2	2	[0.767  0.7837 0.802  0.7896]
1014	2	1	[0.7725 0.812  0.7554 0.7383]
1015	2	0	[0.8022 0.8022 0.769  0.785 ]
1016	3	3	[0.618 0.675 0.664 0.715]
1017	1	2	[0.6636 0.6636 0.7207 0.7207]
1018	0	1	[0.6294 0.7207 0.6636 0.7207]
1019	0	0	[0.8574 0.8354 0.841  0.841 ]
1020	2	3	[0.6846 0.679  0.6904 0.7017]
1021	2	3	[0.679  0.6846 0.691  0.7017]
1022	3	1	[0.675  0.686  0.675  0.6807]
1023	1	0	[0.9272 0.8604 0.871  0.8438]
1024	1	3	[0.554  0.5537 0.548  0.5713]
1025	1	0	[0.606  0.594  0.5767 0.5996]
1026	2	3	[0.654  0.671  0.6704 0.676 ]
1027	2	3	[0.8003 0.767  0.806  0.8237]
